PROJ_NUM,STUDY_NUM,PROJ_ID,PROJ_NAME
1297,4,DWCP 1999,1999 DRINKING WATER COMPOSITES
1298,2,PUUA 1999,1999 AIR FILTER COMPOSITES
1315,2,RAN 2001-1,Ran 2001-1
1316,3,TR 2001-1,TR 2001-1
1317,1,PMN 2001-1,PMN 2001-1
1318,4,DW 2001-1,DW 2001 1st Quarter
1328,4,DW 2001-2,DW 2001-2
1329,4,DW 2001-3,DW 2001 3rd Quarter
1330,4,DW 2001-4,DW 2001 4th Quarter
1331,1,PMN 2001-2,PMN 2001-2
1332,1,PMN 2001-3,PMN 2001 3rd Quarter
1333,1,PMN 2001-4,PMN 2001-4
1334,4,DWCP 2000,2000 Drinking Water Composites
1335,2,RAN 2001-2,RAN 2001 2nd Quarter
1337,3,TR 2001-2,TR 2001-2
1343,2,RAN 2001-3,RAN 2001 Third Quarter
1345,3,TR 2001-3,TR 2001 3rd Quarter
1350,2,RAN 2001-4,RAN 4TH QUARTER 2001
1352,2,PUUA 2000,PUUA AIR FILTERS
1354,3,TR 2001-4,TR 2001 4th Quarter
1356,3,TR 2002-1,TR 2002 1st Quarter
1357,3,TR 2002-2,TR 2002 2nd Quarter
1358,3,TR 2002-3,TR 2002 3rd Quarter
1359,3,TR 2002-4,TR 2002 4th Quarter
1360,4,DW 2002-1,DW 2002 1st Quarter
1361,4,DW 2002-2,DW 2002 2nd Quarter
1362,4,DW 2002-3,DW 2002 3rd Quarter
1363,4,DW 2002-4,DW 2002 4th Quarter
1364,1,PMN 2002-1,PMN 2002 1st Quarter
1365,1,PMN 2002-2,PMN 2002 2nd Quarter
1366,1,PMN 2002-3,PMN 2002 3rd Quarter
1367,1,PMN 2002-4,PMN 2002 4th Quarter
1368,2,RAN 2002-1,RAN 2002 1st Quarter
1369,2,RAN 2002-2,RAN 2002 2nd Quarter
1370,2,RAN 2002-3,RAN 2002 3rd Quarter
1371,2,RAN 2002-4,RAN 2002 4th Quarter
1384,4,DWCP 2001,Drinking water composites for 2001
1387,2,PUUA 2001,PUUA 2001
1409,2,RAN 2003-1,RAN 2003-1 1ST QTR. 2003
1410,2,RAN 2003-2,2003-2 2ND QTR. 2003
1411,2,RAN 2003-3,2003-3 3RD QTR. 2003
1412,2,RAN 2003-4,2003-4 4TH QTR. 2003
1413,4,DW 2003-1,2003-1 1ST QTR. 2003
1414,4,DW 2003-2,2003-2 2ND QTR. 2003
1415,4,DW 2003-3,2003 3RD QTR. 2003
1416,4,DW 2003-4,2003-4 4TH QTR. 2003
1418,1,PMN 2003-1,2003-1 1ST QTR. 2003
1419,1,PMN 2003-2,2003-2 2ND QTR. 2003
1420,1,PMN 2003-3,2003-3 3RD QTR. 2003
1421,1,PMN 2003-4,2003-4 4TH QTR. 2003
1427,3,TR 2003-1,TR 2003 1st Quarter
1428,3,TR 2003-2,TR 2003 2nd Quarter
1429,3,TR 2003-3,TR 2003 3rd Quarter
1430,3,TR 2003-4,TR 2003 4th Quarter
1436,4,DWCP 2002,Drinking Water Composites 2002
1439,2,PUUA 2002,PUUA 2002   RAN composites for 2002
1462,4,DW 2004-1,DW 2004-1 1st quarter
1463,4,DW 2004-2,DW 2004-2 2nd quarter
1464,4,DW 2004-3,DW 2004-3 3rd quarter
1465,4,DW 2004-4,DW 2004-4 4th quarter
